employee,base,vacationName,startDate,startHour,endDate,endHour
EMP037 , BASE1 , Vacation_037 , 2000-01-23 , 00:00 , 2000-01-29 , 23:59
EMP038 , BASE2 , Vacation_038 , 2000-01-03 , 00:00 , 2000-01-09 , 23:59
EMP039 , BASE3 , Vacation_039 , 2000-01-04 , 00:00 , 2000-01-15 , 23:59
EMP040 , BASE1 , Vacation_040 , 2000-01-16 , 00:00 , 2000-01-22 , 23:59
EMP041 , BASE2 , Vacation_041 , 2000-01-19 , 00:00 , 2000-01-31 , 23:59
EMP042 , BASE1 , Vacation_042 , 2000-01-13 , 00:00 , 2000-01-23 , 23:59
EMP043 , BASE1 , Vacation_043 , 2000-01-09 , 00:00 , 2000-01-14 , 23:59
EMP044 , BASE1 , Vacation_044 , 2000-01-14 , 00:00 , 2000-01-20 , 23:59
EMP045 , BASE1 , Vacation_045 , 2000-01-07 , 00:00 , 2000-01-16 , 23:59
EMP046 , BASE2 , Vacation_046 , 2000-01-01 , 00:00 , 2000-01-08 , 23:59
EMP047 , BASE2 , Vacation_047 , 2000-01-09 , 00:00 , 2000-01-23 , 23:59
EMP048 , BASE1 , Vacation_048 , 2000-01-06 , 00:00 , 2000-01-14 , 23:59
EMP049 , BASE1 , Vacation_049 , 2000-01-21 , 00:00 , 2000-01-28 , 23:59
EMP050 , BASE3 , Vacation_050 , 2000-01-10 , 00:00 , 2000-01-14 , 23:59
EMP051 , BASE1 , Vacation_051 , 2000-01-01 , 00:00 , 2000-01-06 , 23:59
EMP052 , BASE1 , Vacation_052 , 2000-01-01 , 00:00 , 2000-01-07 , 23:59
EMP053 , BASE2 , Vacation_053 , 2000-01-15 , 00:00 , 2000-01-29 , 23:59
EMP054 , BASE1 , Vacation_054 , 2000-01-01 , 00:00 , 2000-01-11 , 23:59
EMP055 , BASE1 , Vacation_055 , 2000-01-11 , 00:00 , 2000-01-17 , 23:59
EMP056 , BASE2 , Vacation_056 , 2000-01-16 , 00:00 , 2000-01-20 , 23:59
EMP057 , BASE1 , Vacation_057 , 2000-01-27 , 00:00 , 2000-01-31 , 23:59
EMP058 , BASE2 , Vacation_058 , 2000-01-15 , 00:00 , 2000-01-27 , 23:59
EMP059 , BASE1 , Vacation_059 , 2000-01-13 , 00:00 , 2000-01-20 , 23:59
EMP060 , BASE2 , Vacation_060 , 2000-01-12 , 00:00 , 2000-01-14 , 23:59
EMP061 , BASE1 , Vacation_061 , 2000-01-16 , 00:00 , 2000-01-20 , 23:59
EMP062 , BASE1 , Vacation_062 , 2000-01-07 , 00:00 , 2000-01-13 , 23:59
EMP063 , BASE2 , Vacation_063 , 2000-01-23 , 00:00 , 2000-01-31 , 23:59
EMP064 , BASE1 , Vacation_064 , 2000-01-08 , 00:00 , 2000-01-18 , 23:59
EMP065 , BASE2 , Vacation_065 , 2000-01-01 , 00:00 , 2000-01-12 , 23:59
EMP066 , BASE1 , Vacation_066 , 2000-01-19 , 00:00 , 2000-01-31 , 23:59
EMP067 , BASE1 , Vacation_067 , 2000-01-15 , 00:00 , 2000-01-22 , 23:59
EMP068 , BASE3 , Vacation_068 , 2000-01-04 , 00:00 , 2000-01-06 , 23:59
EMP069 , BASE1 , Vacation_069 , 2000-01-08 , 00:00 , 2000-01-10 , 23:59
EMP070 , BASE2 , Vacation_070 , 2000-01-04 , 00:00 , 2000-01-06 , 23:59
EMP071 , BASE2 , Vacation_071 , 2000-01-12 , 00:00 , 2000-01-23 , 23:59
EMP072 , BASE3 , Vacation_072 , 2000-01-25 , 00:00 , 2000-01-27 , 23:59
EMP073 , BASE1 , Vacation_073 , 2000-01-18 , 00:00 , 2000-01-22 , 23:59
EMP074 , BASE1 , Vacation_074 , 2000-01-08 , 00:00 , 2000-01-11 , 23:59
EMP075 , BASE1 , Vacation_075 , 2000-01-02 , 00:00 , 2000-01-15 , 23:59
EMP076 , BASE3 , Vacation_076 , 2000-01-11 , 00:00 , 2000-01-25 , 23:59
EMP077 , BASE1 , Vacation_077 , 2000-01-26 , 00:00 , 2000-01-28 , 23:59
EMP078 , BASE2 , Vacation_078 , 2000-01-28 , 00:00 , 2000-01-31 , 23:59
EMP079 , BASE2 , Vacation_079 , 2000-01-16 , 00:00 , 2000-01-24 , 23:59
EMP080 , BASE2 , Vacation_080 , 2000-01-06 , 00:00 , 2000-01-09 , 23:59
EMP081 , BASE1 , Vacation_081 , 2000-01-03 , 00:00 , 2000-01-06 , 23:59
EMP082 , BASE1 , Vacation_082 , 2000-01-30 , 00:00 , 2000-01-31 , 23:59
EMP083 , BASE1 , Vacation_083 , 2000-01-09 , 00:00 , 2000-01-23 , 23:59
EMP084 , BASE2 , Vacation_084 , 2000-01-09 , 00:00 , 2000-01-23 , 23:59
EMP085 , BASE1 , Vacation_085 , 2000-01-10 , 00:00 , 2000-01-19 , 23:59
EMP086 , BASE1 , Vacation_086 , 2000-01-24 , 00:00 , 2000-01-29 , 23:59
EMP087 , BASE2 , Vacation_087 , 2000-01-19 , 00:00 , 2000-01-26 , 23:59
EMP088 , BASE3 , Vacation_088 , 2000-01-05 , 00:00 , 2000-01-16 , 23:59
EMP089 , BASE1 , Vacation_089 , 2000-01-24 , 00:00 , 2000-01-29 , 23:59
EMP090 , BASE2 , Vacation_090 , 2000-01-06 , 00:00 , 2000-01-19 , 23:59
EMP091 , BASE2 , Vacation_091 , 2000-01-18 , 00:00 , 2000-01-25 , 23:59
