#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_27_0 , AIR9 , 2000-01-27 , 22:30 , AIR26 , 2000-01-27 , 23:42
LEG_27_68 , AIR2 , 2000-01-27 , 13:40 , BASE2 , 2000-01-27 , 15:54
LEG_27_69 , BASE2 , 2000-01-27 , 17:24 , AIR5 , 2000-01-27 , 22:33
LEG_27_70 , AIR5 , 2000-01-27 , 06:25 , BASE2 , 2000-01-27 , 10:54
LEG_27_71 , BASE1 , 2000-01-27 , 00:04 , AIR6 , 2000-01-27 , 02:49
LEG_27_72 , AIR5 , 2000-01-27 , 23:45 , BASE1 , 2000-01-28 , 03:19
LEG_27_73 , BASE1 , 2000-01-27 , 02:23 , AIR5 , 2000-01-27 , 06:17
LEG_27_74 , AIR2 , 2000-01-27 , 22:50 , BASE1 , 2000-01-28 , 02:14
LEG_27_75 , AIR5 , 2000-01-27 , 20:20 , BASE1 , 2000-01-27 , 23:59
LEG_27_76 , BASE1 , 2000-01-27 , 23:30 , AIR5 , 2000-01-28 , 03:39
LEG_27_77 , AIR8 , 2000-01-27 , 13:45 , BASE1 , 2000-01-27 , 16:28
LEG_27_78 , BASE1 , 2000-01-27 , 17:22 , AIR5 , 2000-01-27 , 21:31
LEG_27_79 , BASE1 , 2000-01-27 , 21:41 , AIR3 , 2000-01-27 , 22:51
LEG_27_80 , AIR5 , 2000-01-27 , 16:40 , BASE1 , 2000-01-27 , 20:14
LEG_27_81 , BASE1 , 2000-01-27 , 15:10 , AIR5 , 2000-01-27 , 19:23
LEG_27_82 , AIR5 , 2000-01-27 , 22:36 , BASE1 , 2000-01-28 , 02:09
LEG_27_83 , BASE1 , 2000-01-27 , 19:04 , AIR2 , 2000-01-27 , 21:51
LEG_27_84 , AIR5 , 2000-01-27 , 14:30 , BASE1 , 2000-01-27 , 18:08
LEG_27_85 , BASE1 , 2000-01-27 , 02:20 , AIR13 , 2000-01-27 , 05:57
LEG_27_86 , BASE1 , 2000-01-27 , 03:04 , BASE2 , 2000-01-27 , 04:35
LEG_27_87 , BASE2 , 2000-01-27 , 17:06 , AIR14 , 2000-01-27 , 19:37
LEG_27_88 , AIR14 , 2000-01-27 , 16:20 , BASE2 , 2000-01-27 , 19:00
LEG_27_89 , BASE2 , 2000-01-27 , 18:51 , AIR14 , 2000-01-27 , 21:20
LEG_27_90 , AIR14 , 2000-01-27 , 15:00 , BASE2 , 2000-01-27 , 17:39
LEG_27_91 , BASE2 , 2000-01-27 , 01:07 , AIR14 , 2000-01-27 , 03:41
LEG_27_92 , AIR14 , 2000-01-27 , 20:30 , BASE2 , 2000-01-27 , 23:09
LEG_27_93 , BASE2 , 2000-01-27 , 22:28 , AIR14 , 2000-01-28 , 01:03
LEG_27_94 , AIR14 , 2000-01-27 , 22:25 , BASE2 , 2000-01-28 , 01:05
LEG_27_95 , BASE2 , 2000-01-27 , 17:05 , AIR10 , 2000-01-27 , 18:26
LEG_27_96 , AIR14 , 2000-01-27 , 13:15 , BASE2 , 2000-01-27 , 15:55
LEG_27_97 , AIR15 , 2000-01-27 , 18:55 , BASE1 , 2000-01-27 , 22:16
LEG_27_98 , BASE3 , 2000-01-27 , 14:31 , BASE1 , 2000-01-27 , 16:32
LEG_27_99 , BASE3 , 2000-01-27 , 23:25 , BASE1 , 2000-01-28 , 01:27
LEG_27_100 , BASE2 , 2000-01-27 , 15:21 , AIR15 , 2000-01-27 , 18:05
LEG_27_101 , AIR5 , 2000-01-27 , 20:35 , BASE2 , 2000-01-28 , 01:03
LEG_27_102 , AIR15 , 2000-01-27 , 20:35 , BASE2 , 2000-01-27 , 23:16
LEG_27_103 , BASE2 , 2000-01-27 , 17:02 , AIR15 , 2000-01-27 , 19:35
LEG_27_104 , AIR12 , 2000-01-27 , 14:10 , BASE1 , 2000-01-27 , 15:59
LEG_27_105 , AIR6 , 2000-01-27 , 11:10 , BASE2 , 2000-01-27 , 13:05
LEG_27_106 , AIR14 , 2000-01-27 , 16:00 , BASE1 , 2000-01-27 , 19:21
LEG_27_107 , BASE1 , 2000-01-27 , 20:37 , AIR4 , 2000-01-28 , 00:18
LEG_27_108 , BASE1 , 2000-01-27 , 21:42 , AIR14 , 2000-01-28 , 00:52
LEG_27_109 , BASE1 , 2000-01-27 , 13:24 , AIR14 , 2000-01-27 , 16:33
LEG_27_110 , AIR14 , 2000-01-27 , 18:00 , BASE1 , 2000-01-27 , 21:21
LEG_27_111 , AIR8 , 2000-01-27 , 11:45 , BASE1 , 2000-01-27 , 14:28
LEG_27_112 , BASE1 , 2000-01-27 , 15:23 , AIR13 , 2000-01-27 , 19:05
LEG_27_113 , AIR13 , 2000-01-27 , 20:10 , BASE1 , 2000-01-27 , 23:27
LEG_27_114 , BASE1 , 2000-01-27 , 21:31 , AIR6 , 2000-01-28 , 00:14
LEG_27_115 , AIR13 , 2000-01-27 , 17:00 , BASE1 , 2000-01-27 , 20:16
LEG_27_116 , BASE1 , 2000-01-27 , 19:14 , AIR8 , 2000-01-27 , 21:41
LEG_27_117 , AIR13 , 2000-01-27 , 15:00 , BASE1 , 2000-01-27 , 18:19
LEG_27_118 , BASE1 , 2000-01-27 , 23:33 , AIR13 , 2000-01-28 , 03:16
LEG_27_119 , AIR4 , 2000-01-27 , 07:55 , BASE1 , 2000-01-27 , 11:00
LEG_27_120 , BASE1 , 2000-01-27 , 13:13 , AIR31 , 2000-01-27 , 16:30
LEG_27_121 , AIR31 , 2000-01-27 , 18:10 , BASE1 , 2000-01-27 , 21:41
LEG_27_122 , AIR9 , 2000-01-27 , 17:40 , BASE2 , 2000-01-27 , 19:34
LEG_27_123 , BASE1 , 2000-01-27 , 00:17 , AIR3 , 2000-01-27 , 01:35
LEG_27_124 , BASE2 , 2000-01-27 , 15:15 , AIR9 , 2000-01-27 , 16:49
LEG_27_125 , BASE1 , 2000-01-27 , 02:55 , AIR17 , 2000-01-27 , 06:13
LEG_27_126 , AIR2 , 2000-01-27 , 18:25 , BASE1 , 2000-01-27 , 21:35
LEG_27_127 , BASE1 , 2000-01-27 , 19:18 , BASE2 , 2000-01-27 , 21:06
LEG_27_128 , BASE1 , 2000-01-27 , 12:00 , BASE2 , 2000-01-27 , 13:35
LEG_27_129 , BASE1 , 2000-01-27 , 12:50 , BASE2 , 2000-01-27 , 14:28
LEG_27_130 , BASE1 , 2000-01-27 , 17:20 , BASE2 , 2000-01-27 , 19:03
LEG_27_131 , BASE1 , 2000-01-27 , 14:40 , BASE2 , 2000-01-27 , 16:17
LEG_27_132 , BASE2 , 2000-01-27 , 22:00 , BASE1 , 2000-01-27 , 23:53
LEG_27_133 , BASE1 , 2000-01-27 , 19:14 , BASE2 , 2000-01-27 , 21:02
LEG_27_134 , AIR17 , 2000-01-27 , 09:10 , BASE1 , 2000-01-27 , 11:03
LEG_27_135 , BASE1 , 2000-01-27 , 18:55 , AIR3 , 2000-01-27 , 19:57
LEG_27_136 , AIR17 , 2000-01-27 , 20:10 , BASE1 , 2000-01-27 , 23:18
LEG_27_137 , AIR3 , 2000-01-27 , 20:55 , BASE1 , 2000-01-27 , 22:12
LEG_27_138 , BASE1 , 2000-01-27 , 23:02 , AIR17 , 2000-01-28 , 02:27
LEG_27_139 , AIR3 , 2000-01-27 , 12:50 , BASE1 , 2000-01-27 , 14:12
LEG_27_140 , BASE1 , 2000-01-27 , 15:27 , AIR17 , 2000-01-27 , 18:55
LEG_27_141 , BASE1 , 2000-01-27 , 17:44 , AIR18 , 2000-01-27 , 23:39
LEG_27_142 , AIR18 , 2000-01-27 , 06:55 , BASE1 , 2000-01-27 , 12:05
LEG_27_143 , BASE1 , 2000-01-27 , 13:21 , AIR2 , 2000-01-27 , 16:02
LEG_27_144 , BASE1 , 2000-01-27 , 23:25 , AIR18 , 2000-01-28 , 05:23
LEG_27_145 , AIR18 , 2000-01-27 , 18:00 , BASE1 , 2000-01-27 , 23:29
LEG_27_146 , AIR4 , 2000-01-27 , 06:50 , BASE2 , 2000-01-27 , 10:58
LEG_27_147 , AIR8 , 2000-01-27 , 22:45 , BASE1 , 2000-01-28 , 01:33
LEG_27_148 , BASE2 , 2000-01-27 , 01:04 , AIR31 , 2000-01-27 , 03:46
LEG_27_149 , AIR31 , 2000-01-27 , 14:55 , BASE2 , 2000-01-27 , 17:50
LEG_27_150 , BASE2 , 2000-01-27 , 22:06 , AIR3 , 2000-01-27 , 23:09
LEG_27_151 , AIR31 , 2000-01-27 , 17:45 , BASE2 , 2000-01-27 , 20:41
LEG_27_152 , BASE2 , 2000-01-27 , 14:11 , AIR31 , 2000-01-27 , 16:59
LEG_27_153 , AIR8 , 2000-01-27 , 14:25 , BASE2 , 2000-01-27 , 16:00
LEG_27_154 , BASE2 , 2000-01-27 , 11:51 , AIR8 , 2000-01-27 , 13:21
LEG_27_155 , AIR8 , 2000-01-27 , 21:20 , BASE2 , 2000-01-27 , 22:58
LEG_27_156 , BASE2 , 2000-01-27 , 18:52 , AIR8 , 2000-01-27 , 20:22
LEG_27_157 , BASE2 , 2000-01-27 , 01:06 , AIR12 , 2000-01-27 , 02:12
LEG_27_158 , AIR17 , 2000-01-27 , 20:50 , BASE2 , 2000-01-28 , 00:45
LEG_27_159 , BASE2 , 2000-01-27 , 14:49 , AIR17 , 2000-01-27 , 19:14
LEG_27_160 , AIR17 , 2000-01-27 , 23:00 , BASE2 , 2000-01-28 , 02:50
LEG_27_161 , BASE2 , 2000-01-27 , 11:42 , AIR17 , 2000-01-27 , 16:04
LEG_27_162 , AIR17 , 2000-01-27 , 06:45 , BASE2 , 2000-01-27 , 10:30
LEG_27_163 , BASE2 , 2000-01-27 , 20:39 , AIR17 , 2000-01-28 , 01:07
LEG_27_164 , BASE2 , 2000-01-27 , 22:02 , AIR2 , 2000-01-27 , 23:55
LEG_27_165 , AIR17 , 2000-01-27 , 17:00 , BASE2 , 2000-01-27 , 20:57
LEG_27_166 , BASE2 , 2000-01-27 , 18:42 , AIR6 , 2000-01-27 , 20:23
LEG_27_167 , AIR17 , 2000-01-27 , 13:40 , BASE2 , 2000-01-27 , 17:34
LEG_27_168 , BASE2 , 2000-01-27 , 17:16 , AIR17 , 2000-01-27 , 21:42
LEG_27_169 , AIR10 , 2000-01-27 , 11:30 , BASE2 , 2000-01-27 , 13:04
LEG_27_170 , BASE2 , 2000-01-27 , 11:58 , AIR14 , 2000-01-27 , 14:29
LEG_27_171 , AIR17 , 2000-01-27 , 06:59 , BASE2 , 2000-01-27 , 10:44
LEG_27_172 , AIR3 , 2000-01-27 , 14:40 , BASE1 , 2000-01-27 , 15:58
LEG_27_173 , AIR1 , 2000-01-27 , 22:20 , BASE1 , 2000-01-28 , 01:28
LEG_27_174 , BASE2 , 2000-01-27 , 20:00 , AIR24 , 2000-01-27 , 21:00
LEG_27_175 , AIR24 , 2000-01-27 , 22:30 , BASE2 , 2000-01-27 , 23:28
